								"EAW = A, F, WのみでフィルターしたGeneral Category = Lm のリスト"
	 ˇ 	02C7	Modifier_Letter	A		Spacing Modifier Letters	Miscellaneous phonetic modifiers	CARON
	 ˉ 	02C9	Modifier_Letter	A		Spacing Modifier Letters	Miscellaneous phonetic modifiers	MODIFIER LETTER MACRON
	 ˊ 	02CA	Modifier_Letter	A		Spacing Modifier Letters	Miscellaneous phonetic modifiers	MODIFIER LETTER ACUTE ACCENT
	 ˋ 	02CB	Modifier_Letter	A		Spacing Modifier Letters	Miscellaneous phonetic modifiers	MODIFIER LETTER GRAVE ACCENT
	 ˍ 	02CD	Modifier_Letter	A		Spacing Modifier Letters	Miscellaneous phonetic modifiers	MODIFIER LETTER LOW MACRON
	 ː 	02D0	Modifier_Letter	A		Spacing Modifier Letters	Miscellaneous phonetic modifiers	MODIFIER LETTER TRIANGULAR COLON
	 ⁿ 	207F	Modifier_Letter	A		Superscripts And Subscripts	Superscripts	SUPERSCRIPT LATIN SMALL LETTER N
9	 々 	3005	Modifier_Letter	W		CJK Symbols And Punctuation	CJK symbols and punctuation	IDEOGRAPHIC ITERATION MARK
	 〱 	3031	Modifier_Letter	W		CJK Symbols And Punctuation	Kana repeat marks	VERTICAL KANA REPEAT MARK
	 〲 	3032	Modifier_Letter	W		CJK Symbols And Punctuation	Kana repeat marks	VERTICAL KANA REPEAT WITH VOICED SOUND MARK
8	 〳 	3033	Modifier_Letter	W		CJK Symbols And Punctuation	Kana repeat marks	VERTICAL KANA REPEAT MARK UPPER HALF
8	 〴 	3034	Modifier_Letter	W		CJK Symbols And Punctuation	Kana repeat marks	VERTICAL KANA REPEAT WITH VOICED SOUND MARK UPPER HALF
8	 〵 	3035	Modifier_Letter	W		CJK Symbols And Punctuation	Kana repeat marks	VERTICAL KANA REPEAT MARK LOWER HALF
9	 〻 	303B	Modifier_Letter	W		CJK Symbols And Punctuation	CJK punctuation	VERTICAL IDEOGRAPHIC ITERATION MARK
9	 ゝ 	309D	Modifier_Letter	W		Hiragana	Iteration marks	HIRAGANA ITERATION MARK
9	 ゞ 	309E	Modifier_Letter	W		Hiragana	Iteration marks	HIRAGANA VOICED ITERATION MARK
10	 ー 	30FC	Modifier_Letter	W		Katakana	Conjunction and length marks	KATAKANA-HIRAGANA PROLONGED SOUND MARK
9	 ヽ 	30FD	Modifier_Letter	W		Katakana	Iteration marks	KATAKANA ITERATION MARK
9	 ヾ 	30FE	Modifier_Letter	W		Katakana	Iteration marks	KATAKANA VOICED ITERATION MARK
	 ꀕ 	A015	Modifier_Letter	W		Yi Syllables	Syllable iteration mark	YI SYLLABLE WU
	 𖿠 	16FE0	Modifier_Letter	W		Ideographic Symbols And Punctuation	Tangut mark	TANGUT ITERATION MARK
	 𖿡 	16FE1	Modifier_Letter	W		Ideographic Symbols And Punctuation	Nushu mark	NUSHU ITERATION MARK
	 𖿣 	16FE3	Modifier_Letter	W		Ideographic Symbols And Punctuation	Marks used in ancient Chinese texts	OLD CHINESE ITERATION MARK
