								"EAW = A, F, WのみでフィルターしたGeneral Category = Po のリスト"
CL	Glyph	UCS	General_Category	EAW	DT	Block	Subhead	UCS name
	 ¡ 	00A1	Other_Punctuation	A		Latin 1 Supplement	Latin-1 punctuation and symbols	INVERTED EXCLAMATION MARK
	 § 	00A7	Other_Punctuation	A		Latin 2 Supplement	Latin-2 punctuation and symbols	SECTION SIGN
	 ¶ 	00B6	Other_Punctuation	A		Latin 3 Supplement	Latin-3 punctuation and symbols	PILCROW SIGN
	 · 	00B7	Other_Punctuation	A		Latin 4 Supplement	Latin-4 punctuation and symbols	MIDDLE DOT
	 ¿ 	00BF	Other_Punctuation	A		Latin 1 Supplement	Punctuation	INVERTED QUESTION MARK
	 ‖ 	2016	Other_Punctuation	A		General Punctuation	General punctuation	DOUBLE VERTICAL LINE
	 † 	2020	Other_Punctuation	A		General Punctuation	General punctuation	DAGGER
	 ‡ 	2021	Other_Punctuation	A		General Punctuation	General punctuation	DOUBLE DAGGER
	 • 	2022	Other_Punctuation	A		General Punctuation	General punctuation	BULLET
	 ․ 	2024	Other_Punctuation	A		General Punctuation	General punctuation	ONE DOT LEADER
8	 ‥ 	2025	Other_Punctuation	A		General Punctuation	General punctuation	TWO DOT LEADER
8	 … 	2026	Other_Punctuation	A		General Punctuation	General punctuation	HORIZONTAL ELLIPSIS
	 ‧ 	2027	Other_Punctuation	A		General Punctuation	General punctuation	HYPHENATION POINT
	 ‰ 	2030	Other_Punctuation	A		General Punctuation	General punctuation	PER MILLE SIGN
	 ′ 	2032	Other_Punctuation	A		General Punctuation	General punctuation	PRIME
	 ″ 	2033	Other_Punctuation	A		General Punctuation	General punctuation	DOUBLE PRIME
	 ‵ 	2035	Other_Punctuation	A		General Punctuation	General punctuation	REVERSED PRIME
	 ※ 	203B	Other_Punctuation	A		General Punctuation	General punctuation	REFERENCE MARK
	 ‾ 	203E	Other_Punctuation	A		General Punctuation	General punctuation	OVERLINE
7	 、 	3001	Other_Punctuation	W		CJK Symbols And Punctuation	CJK symbols and punctuation	IDEOGRAPHIC COMMA
6	 。 	3002	Other_Punctuation	W		CJK Symbols And Punctuation	CJK symbols and punctuation	IDEOGRAPHIC FULL STOP
	 〃 	3003	Other_Punctuation	W		CJK Symbols And Punctuation	CJK symbols and punctuation	DITTO MARK
	 〽️ 	303D	Other_Punctuation	W		CJK Symbols And Punctuation	CJK punctuation	PART ALTERNATION MARK
5	 ・ 	30FB	Other_Punctuation	W		Katakana	Conjunction and length marks	KATAKANA MIDDLE DOT
	 ︐ 	FE10	Other_Punctuation	W	V	Vertical Forms	Glyphs for vertical variants	PRESENTATION FORM FOR VERTICAL COMMA
	 ︑ 	FE11	Other_Punctuation	W	V	Vertical Forms	Glyphs for vertical variants	PRESENTATION FORM FOR VERTICAL IDEOGRAPHIC COMMA
	 ︒ 	FE12	Other_Punctuation	W	V	Vertical Forms	Glyphs for vertical variants	PRESENTATION FORM FOR VERTICAL IDEOGRAPHIC FULL STOP
	 ︓ 	FE13	Other_Punctuation	W	V	Vertical Forms	Glyphs for vertical variants	PRESENTATION FORM FOR VERTICAL COLON
	 ︔ 	FE14	Other_Punctuation	W	V	Vertical Forms	Glyphs for vertical variants	PRESENTATION FORM FOR VERTICAL SEMICOLON
	 ︕ 	FE15	Other_Punctuation	W	V	Vertical Forms	Glyphs for vertical variants	PRESENTATION FORM FOR VERTICAL EXCLAMATION MARK
	 ︖ 	FE16	Other_Punctuation	W	V	Vertical Forms	Glyphs for vertical variants	PRESENTATION FORM FOR VERTICAL QUESTION MARK
	 ︙ 	FE19	Other_Punctuation	W	V	Vertical Forms	Glyphs for vertical variants	PRESENTATION FORM FOR VERTICAL HORIZONTAL ELLIPSIS
	 ︰ 	FE30	Other_Punctuation	W	V	CJK Compatibility Forms	Glyphs for vertical variants	PRESENTATION FORM FOR VERTICAL TWO DOT LEADER
	 ﹅ 	FE45	Other_Punctuation	W		CJK Compatibility Forms	Sidelining emphasis marks	SESAME DOT
	 ﹆ 	FE46	Other_Punctuation	W		CJK Compatibility Forms	Sidelining emphasis marks	WHITE SESAME DOT
	 ﹉ 	FE49	Other_Punctuation	W		CJK Compatibility Forms	Overscores and underscores	DASHED OVERLINE
	 ﹊ 	FE4A	Other_Punctuation	W		CJK Compatibility Forms	Overscores and underscores	CENTRELINE OVERLINE
	 ﹋ 	FE4B	Other_Punctuation	W		CJK Compatibility Forms	Overscores and underscores	WAVY OVERLINE
	 ﹌ 	FE4C	Other_Punctuation	W		CJK Compatibility Forms	Overscores and underscores	DOUBLE WAVY OVERLINE
	 ﹐ 	FE50	Other_Punctuation	W		Small Form Variants	Small form variants	SMALL COMMA
	 ﹑ 	FE51	Other_Punctuation	W		Small Form Variants	Small form variants	SMALL IDEOGRAPHIC COMMA
	 ﹒ 	FE52	Other_Punctuation	W		Small Form Variants	Small form variants	SMALL FULL STOP
	 ﹔ 	FE54	Other_Punctuation	W		Small Form Variants	Small form variants	SMALL SEMICOLON
	 ﹕ 	FE55	Other_Punctuation	W		Small Form Variants	Small form variants	SMALL COLON
	 ﹖ 	FE56	Other_Punctuation	W		Small Form Variants	Small form variants	SMALL QUESTION MARK
	 ﹗ 	FE57	Other_Punctuation	W		Small Form Variants	Small form variants	SMALL EXCLAMATION MARK
	 ﹟ 	FE5F	Other_Punctuation	W		Small Form Variants	Small form variants	SMALL NUMBER SIGN
	 ﹠ 	FE60	Other_Punctuation	W		Small Form Variants	Small form variants	SMALL AMPERSAND
	 ﹡ 	FE61	Other_Punctuation	W		Small Form Variants	Small form variants	SMALL ASTERISK
	 ﹨ 	FE68	Other_Punctuation	W		Small Form Variants	Small form variants	SMALL REVERSE SOLIDUS
	 ﹪ 	FE6A	Other_Punctuation	W		Small Form Variants	Small form variants	SMALL PERCENT SIGN
	 ﹫ 	FE6B	Other_Punctuation	W		Small Form Variants	Small form variants	SMALL COMMERCIAL AT
4	 ！ 	FF01	Other_Punctuation	F		Halfwidth And Fullwidth Forms	Fullwidth ASCII variants	FULLWIDTH EXCLAMATION MARK
	 ＂ 	FF02	Other_Punctuation	F		Halfwidth And Fullwidth Forms	Fullwidth ASCII variants	FULLWIDTH QUOTATION MARK
	 ＃ 	FF03	Other_Punctuation	F		Halfwidth And Fullwidth Forms	Fullwidth ASCII variants	FULLWIDTH NUMBER SIGN
	 ％ 	FF05	Other_Punctuation	F		Halfwidth And Fullwidth Forms	Fullwidth ASCII variants	FULLWIDTH PERCENT SIGN
	 ＆ 	FF06	Other_Punctuation	F		Halfwidth And Fullwidth Forms	Fullwidth ASCII variants	FULLWIDTH AMPERSAND
	 ＇ 	FF07	Other_Punctuation	F		Halfwidth And Fullwidth Forms	Fullwidth ASCII variants	FULLWIDTH APOSTROPHE
	 ＊ 	FF0A	Other_Punctuation	F		Halfwidth And Fullwidth Forms	Fullwidth ASCII variants	FULLWIDTH ASTERISK
7	 ， 	FF0C	Other_Punctuation	F		Halfwidth And Fullwidth Forms	Fullwidth ASCII variants	FULLWIDTH COMMA
6	 ． 	FF0E	Other_Punctuation	F		Halfwidth And Fullwidth Forms	Fullwidth ASCII variants	FULLWIDTH FULL STOP
	 ／ 	FF0F	Other_Punctuation	F		Halfwidth And Fullwidth Forms	Fullwidth ASCII variants	FULLWIDTH SOLIDUS
5	 ： 	FF1A	Other_Punctuation	F		Halfwidth And Fullwidth Forms	Fullwidth ASCII variants	FULLWIDTH COLON
5	 ； 	FF1B	Other_Punctuation	F		Halfwidth And Fullwidth Forms	Fullwidth ASCII variants	FULLWIDTH SEMICOLON
4	 ？ 	FF1F	Other_Punctuation	F		Halfwidth And Fullwidth Forms	Fullwidth ASCII variants	FULLWIDTH QUESTION MARK
	 ＠ 	FF20	Other_Punctuation	F		Halfwidth And Fullwidth Forms	Fullwidth ASCII variants	FULLWIDTH COMMERCIAL AT
	 ＼ 	FF3C	Other_Punctuation	F		Halfwidth And Fullwidth Forms	Fullwidth ASCII variants	FULLWIDTH REVERSE SOLIDUS
	 𖿢 	16FE2	Other_Punctuation	W		Ideographic Symbols And Punctuation	Marks used in ancient Chinese texts	OLD CHINESE HOOK MARK
								
								cl-04の追加
4	 ‼️ 	203C	Other_Punctuation	N		General Punctuation	Double punctuation for vertical text	DOUBLE EXCLAMATION MARK
4	 ⁇ 	2047	Other_Punctuation	N		General Punctuation	Double punctuation for vertical text	DOUBLE QUESTION MARK
4	 ⁈ 	2048	Other_Punctuation	N		General Punctuation	Double punctuation for vertical text	QUESTION EXCLAMATION MARK
4	 ⁉️ 	2049	Other_Punctuation	N		General Punctuation	Double punctuation for vertical text	EXCLAMATION QUESTION MARK
