	00A1	00A7	00B6	00B7	00BF	2016	2020	2021	2022	2024	2025	2026	2027	2030	2032	2033	2035	203B	203C	203E	2047	2048	2049	3001	3002	3003	303D	30FB	FE45	FE46	FE49	FE4A	FE4B	FE4C	FF01	FF02	FF03	FF05	FF06	FF07	FF0A	FF0C	FF0E	FF0F	FF1A	FF1B	FF1F	FF20	FF3C	16FE2
CL											8	8							4		4	4	4	7	6			5							4							7	6		5	5	4			
Glyph	 ¡ 	 § 	 ¶ 	 · 	 ¿ 	 ‖ 	 † 	 ‡ 	 • 	 ․ 	 ‥ 	 … 	 ‧ 	 ‰ 	 ′ 	 ″ 	 ‵ 	 ※ 	 ‼️ 	 ‾ 	 ⁇ 	 ⁈ 	 ⁉️ 	 、 	 。 	 〃 	 〽️ 	 ・ 	 ﹅ 	 ﹆ 	 ﹉ 	 ﹊ 	 ﹋ 	 ﹌ 	 ！ 	 ＂ 	 ＃ 	 ％ 	 ＆ 	 ＇ 	 ＊ 	 ， 	 ． 	 ／ 	 ： 	 ； 	 ？ 	 ＠ 	 ＼ 	 𖿢 
																																																		
Age	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	3.2	3	3	1.1	1.1	1.1	3.2	1.1	3.2	3.2	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	12
Bidi_Class	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	European_Terminator	European_Terminator	European_Terminator	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	European_Terminator	European_Terminator	Other_Neutral	Other_Neutral	Other_Neutral	Common_Separator	Common_Separator	Common_Separator	Common_Separator	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral	Other_Neutral
Block	Latin_1_Supplement	Latin_1_Supplement	Latin_1_Supplement	Latin_1_Supplement	Latin_1_Supplement	General_Punctuation	General_Punctuation	General_Punctuation	General_Punctuation	General_Punctuation	General_Punctuation	General_Punctuation	General_Punctuation	General_Punctuation	General_Punctuation	General_Punctuation	General_Punctuation	General_Punctuation	General_Punctuation	General_Punctuation	General_Punctuation	General_Punctuation	General_Punctuation	CJK_Symbols_And_Punctuation	CJK_Symbols_And_Punctuation	CJK_Symbols_And_Punctuation	CJK_Symbols_And_Punctuation	Katakana	CJK_Compatibility_Forms	CJK_Compatibility_Forms	CJK_Compatibility_Forms	CJK_Compatibility_Forms	CJK_Compatibility_Forms	CJK_Compatibility_Forms	Halfwidth_And_Fullwidth_Forms	Halfwidth_And_Fullwidth_Forms	Halfwidth_And_Fullwidth_Forms	Halfwidth_And_Fullwidth_Forms	Halfwidth_And_Fullwidth_Forms	Halfwidth_And_Fullwidth_Forms	Halfwidth_And_Fullwidth_Forms	Halfwidth_And_Fullwidth_Forms	Halfwidth_And_Fullwidth_Forms	Halfwidth_And_Fullwidth_Forms	Halfwidth_And_Fullwidth_Forms	Halfwidth_And_Fullwidth_Forms	Halfwidth_And_Fullwidth_Forms	Halfwidth_And_Fullwidth_Forms	Halfwidth_And_Fullwidth_Forms	Ideographic_Symbols_And_Punctuation
bmp																																																		No
Case_Ignorable				Yes						Yes			Yes																											Yes			Yes		Yes					
Changes_When_NFKC_Casefolded										Yes	Yes	Yes				Yes			Yes	Yes	Yes	Yes	Yes								Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
Confusable_MA			¶	·		ll			·	.	..	...	·	º/₀₀	'	''	'		!!	ˉ	??	?!	!?		˳	''		·			ˉ	ˉ	ˉ	ˉ	!	''				'					:				\	
Decomposition_Type										Compat	Compat	Compat				Compat			Compat	Compat	Compat	Compat	Compat								Compat	Compat	Compat	Compat	Wide	Wide	Wide	Wide	Wide	Wide	Wide	Wide	Wide	Wide	Wide	Wide	Wide	Wide	Wide	
Diacritic				Yes																																														
East_Asian_Width	Ambiguous	Ambiguous	Ambiguous	Ambiguous	Ambiguous	Ambiguous	Ambiguous	Ambiguous	Ambiguous	Ambiguous	Ambiguous	Ambiguous	Ambiguous	Ambiguous	Ambiguous	Ambiguous	Ambiguous	Ambiguous		Ambiguous				Wide	Wide	Wide	Wide	Wide	Wide	Wide	Wide	Wide	Wide	Wide	Fullwidth	Fullwidth	Fullwidth	Fullwidth	Fullwidth	Fullwidth	Fullwidth	Fullwidth	Fullwidth	Fullwidth	Fullwidth	Fullwidth	Fullwidth	Fullwidth	Fullwidth	Wide
Emoji																			Yes				Yes				Yes																							
Extended_Pictographic																			Yes				Yes				Yes																							
Extender				Yes																																														
General_Category	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation	Other_Punctuation
graph	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Grapheme_Base	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Hyphen																												Yes																						
ID_Continue				Yes																																														
Identifier_Status				Allowed									Allowed															Allowed																						
Identifier_Type	Not_XID	Not_XID	Not_XID	Inclusion	Not_XID	Not_XID	Not_XID	Not_XID	Not_XID	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Inclusion	Not_XID	Not_XID	Not_XID|Not_NFKC	Not_XID	Not_XID	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID	Not_XID	Not_XID	Not_XID	Inclusion	Technical|Not_XID	Technical|Not_XID	Technical|Not_XID|Not_NFKC	Technical|Not_XID|Not_NFKC	Technical|Not_XID|Not_NFKC	Technical|Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID|Not_NFKC	Not_XID
